date,tc,pres,mois_de_l_annee
2022-06-30T14:00:00+02:00,17.30000000000001,99960,6
2022-07-01T02:00:00+02:00,14.400000000000034,100330,7
2022-07-03T17:00:00+02:00,30.200000000000045,99970,7
2022-08-27T20:00:00+02:00,29.30000000000001,99390,8
2022-06-03T05:00:00+02:00,19.30000000000001,99560,6
2022-06-05T02:00:00+02:00,19.600000000000023,100010,6
2022-06-05T23:00:00+02:00,20.5,100370,6
2022-07-06T05:00:00+02:00,19.5,100430,7
2022-07-16T14:00:00+02:00,35.60000000000002,99960,7
2022-05-12T14:00:00+02:00,22.400000000000034,100210,5
2022-12-04T07:00:00+01:00,0.30000000000001137,99150,12
2022-11-23T01:00:00+01:00,8.700000000000045,98750,11
2022-09-29T11:00:00+02:00,14.700000000000045,98730,9
2022-06-24T17:00:00+02:00,24.900000000000034,99610,6
2022-10-01T02:00:00+02:00,11.700000000000045,100280,10
2022-06-20T08:00:00+02:00,20.600000000000023,99400,6
2022-06-11T23:00:00+02:00,27.600000000000023,100210,6
2022-10-01T17:00:00+02:00,23.80000000000001,100630,10
2022-06-24T08:00:00+02:00,15.300000000000011,99720,6
2022-10-14T02:00:00+02:00,18.400000000000034,100450,10
2022-10-31T13:00:00+01:00,25.30000000000001,99680,10
2022-11-01T10:00:00+01:00,17.700000000000045,100660,11
2022-04-07T02:00:00+02:00,8.300000000000011,99820,4
2022-04-09T02:00:00+02:00,9.5,99910,4
2022-04-08T23:00:00+02:00,11.900000000000034,99760,4
2022-04-13T23:00:00+02:00,11.600000000000023,100210,4
2022-10-22T08:00:00+02:00,13.400000000000034,99700,10
2022-04-16T05:00:00+02:00,12.400000000000034,100420,4
2022-10-06T08:00:00+02:00,16.200000000000045,101170,10
2022-10-21T08:00:00+02:00,15.100000000000023,99320,10
2022-03-14T19:00:00+01:00,12.5,100110,3
2022-10-16T14:00:00+02:00,25.900000000000034,99700,10
2022-03-17T16:00:00+01:00,14.600000000000023,100650,3
2022-03-18T22:00:00+01:00,9.200000000000045,101050,3
2022-10-19T05:00:00+02:00,19.30000000000001,100110,10
2022-03-16T22:00:00+01:00,12.800000000000011,100400,3
2022-04-13T20:00:00+02:00,13.400000000000034,100020,4
2022-02-01T13:00:00+01:00,7.900000000000034,101520,2
2022-03-24T01:00:00+01:00,8.200000000000045,100730,3
2022-02-05T10:00:00+01:00,8.300000000000011,100930,2
2022-04-23T11:00:00+02:00,14.300000000000011,97580,4
2022-03-24T22:00:00+01:00,10.800000000000011,100580,3
2022-05-11T08:00:00+02:00,16,100050,5
2022-04-30T14:00:00+02:00,19.600000000000023,100500,4
2022-04-01T11:00:00+02:00,4.7000000000000455,99540,4
2022-04-03T05:00:00+02:00,-0.0999999999999659,100150,4
2022-04-03T20:00:00+02:00,5.2000000000000455,100270,4
2022-04-02T14:00:00+02:00,5.300000000000011,100070,4
2022-01-11T04:00:00+01:00,4.100000000000023,100810,1
2022-01-06T04:00:00+01:00,1.3000000000000114,100360,1
2022-11-15T16:00:00+01:00,17.100000000000023,98870,11
